Source Name	Sample Name	Characteristics[Replic]	Term Source REF	Term Accession Number	AuxChar[Plot]	Term Source REF	Term Accession Number	Raw Data File	Derived Data File	Trait Definition File
source10	sample28	1			1196				a_study1_processed_data.txt	a_study1_tdf.xlsx
source10	sample29	2			1394				a_study1_processed_data.txt	a_study1_tdf.xlsx
source10	sample30	3			1686				a_study1_processed_data.txt	a_study1_tdf.xlsx
source11	sample31	1			1162				a_study1_processed_data.txt	a_study1_tdf.xlsx
source11	sample32	2			1469				a_study1_processed_data.txt	a_study1_tdf.xlsx
source11	sample33	3			1633				a_study1_processed_data.txt	a_study1_tdf.xlsx
source12	sample34	1			1120				a_study1_processed_data.txt	a_study1_tdf.xlsx
source12	sample35	2			1386				a_study1_processed_data.txt	a_study1_tdf.xlsx
source12	sample36	3			1688				a_study1_processed_data.txt	a_study1_tdf.xlsx
source13	sample37	1			1173				a_study1_processed_data.txt	a_study1_tdf.xlsx
source13	sample38	2			1393				a_study1_processed_data.txt	a_study1_tdf.xlsx
source13	sample39	3			1696				a_study1_processed_data.txt	a_study1_tdf.xlsx
source14	sample40	1			1167				a_study1_processed_data.txt	a_study1_tdf.xlsx
source14	sample41	2			1358				a_study1_processed_data.txt	a_study1_tdf.xlsx
source14	sample42	3			1679				a_study1_processed_data.txt	a_study1_tdf.xlsx
source15	sample43	1			1076				a_study1_processed_data.txt	a_study1_tdf.xlsx
source15	sample44	2			1380				a_study1_processed_data.txt	a_study1_tdf.xlsx
source15	sample45	3			1588				a_study1_processed_data.txt	a_study1_tdf.xlsx
source16	sample46	1			1017				a_study1_processed_data.txt	a_study1_tdf.xlsx
source16	sample47	2			1426				a_study1_processed_data.txt	a_study1_tdf.xlsx
source16	sample48	3			1783				a_study1_processed_data.txt	a_study1_tdf.xlsx
source17	sample49	1			1240				a_study1_processed_data.txt	a_study1_tdf.xlsx
source17	sample50	2			1368				a_study1_processed_data.txt	a_study1_tdf.xlsx
source17	sample51	3			1710				a_study1_processed_data.txt	a_study1_tdf.xlsx
source18	sample52	1			1227				a_study1_processed_data.txt	a_study1_tdf.xlsx
source18	sample53	2			1377				a_study1_processed_data.txt	a_study1_tdf.xlsx
source18	sample54	3			1584				a_study1_processed_data.txt	a_study1_tdf.xlsx
source19	sample55	1			1216				a_study1_processed_data.txt	a_study1_tdf.xlsx
source19	sample56	2			1464				a_study1_processed_data.txt	a_study1_tdf.xlsx
source19	sample57	3			1570				a_study1_processed_data.txt	a_study1_tdf.xlsx
source20	sample58	1			1224				a_study1_processed_data.txt	a_study1_tdf.xlsx
source20	sample59	2			1348				a_study1_processed_data.txt	a_study1_tdf.xlsx
source20	sample60	3			1585				a_study1_processed_data.txt	a_study1_tdf.xlsx
source21	sample61	1			1126				a_study1_processed_data.txt	a_study1_tdf.xlsx
source21	sample62	2			1388				a_study1_processed_data.txt	a_study1_tdf.xlsx
source21	sample63	3			1704				a_study1_processed_data.txt	a_study1_tdf.xlsx
source22	sample64	1			1193				a_study1_processed_data.txt	a_study1_tdf.xlsx
source22	sample65	2			1375				a_study1_processed_data.txt	a_study1_tdf.xlsx
source22	sample66	3			1586				a_study1_processed_data.txt	a_study1_tdf.xlsx
source23	sample67	1			1069				a_study1_processed_data.txt	a_study1_tdf.xlsx
source23	sample68	2			1501				a_study1_processed_data.txt	a_study1_tdf.xlsx
source23	sample69	3			1547				a_study1_processed_data.txt	a_study1_tdf.xlsx
source24	sample70	1			1215				a_study1_processed_data.txt	a_study1_tdf.xlsx
source24	sample71	2			1328				a_study1_processed_data.txt	a_study1_tdf.xlsx
source24	sample72	3			1614				a_study1_processed_data.txt	a_study1_tdf.xlsx
source25	sample73	1			1168				a_study1_processed_data.txt	a_study1_tdf.xlsx
source25	sample74	2			1356				a_study1_processed_data.txt	a_study1_tdf.xlsx
source25	sample75	3			1548				a_study1_processed_data.txt	a_study1_tdf.xlsx
source26	sample76	1			1213				a_study1_processed_data.txt	a_study1_tdf.xlsx
source26	sample77	2			1338				a_study1_processed_data.txt	a_study1_tdf.xlsx
source26	sample78	3			1530				a_study1_processed_data.txt	a_study1_tdf.xlsx
source27	sample79	1			1161				a_study1_processed_data.txt	a_study1_tdf.xlsx
source27	sample80	2			1355				a_study1_processed_data.txt	a_study1_tdf.xlsx
source27	sample81	3			1536				a_study1_processed_data.txt	a_study1_tdf.xlsx
source28	sample82	1			1236				a_study1_processed_data.txt	a_study1_tdf.xlsx
source28	sample83	2			1439				a_study1_processed_data.txt	a_study1_tdf.xlsx
source28	sample84	3			1529				a_study1_processed_data.txt	a_study1_tdf.xlsx
source29	sample85	1			1198				a_study1_processed_data.txt	a_study1_tdf.xlsx
source29	sample86	2			1349				a_study1_processed_data.txt	a_study1_tdf.xlsx
source29	sample87	3			1624				a_study1_processed_data.txt	a_study1_tdf.xlsx
source30	sample88	1			1214				a_study1_processed_data.txt	a_study1_tdf.xlsx
source30	sample89	2			1371				a_study1_processed_data.txt	a_study1_tdf.xlsx
source30	sample90	3			1622				a_study1_processed_data.txt	a_study1_tdf.xlsx
source31	sample91	1			1219				a_study1_processed_data.txt	a_study1_tdf.xlsx
source31	sample92	2			1339				a_study1_processed_data.txt	a_study1_tdf.xlsx
source31	sample93	3			1708				a_study1_processed_data.txt	a_study1_tdf.xlsx
source32	sample94	1			1188				a_study1_processed_data.txt	a_study1_tdf.xlsx
source32	sample95	2			1333				a_study1_processed_data.txt	a_study1_tdf.xlsx
source32	sample96	3			1713				a_study1_processed_data.txt	a_study1_tdf.xlsx
source33	sample97	1			1197				a_study1_processed_data.txt	a_study1_tdf.xlsx
source33	sample98	2			1342				a_study1_processed_data.txt	a_study1_tdf.xlsx
source33	sample99	3			1669				a_study1_processed_data.txt	a_study1_tdf.xlsx
source34	sample100	1			1208				a_study1_processed_data.txt	a_study1_tdf.xlsx
source34	sample101	2			1362				a_study1_processed_data.txt	a_study1_tdf.xlsx
source34	sample102	3			1634				a_study1_processed_data.txt	a_study1_tdf.xlsx
source35	sample103	1			1136				a_study1_processed_data.txt	a_study1_tdf.xlsx
source35	sample104	2			1345				a_study1_processed_data.txt	a_study1_tdf.xlsx
source35	sample105	3			1597				a_study1_processed_data.txt	a_study1_tdf.xlsx
source36	sample106	1			1131				a_study1_processed_data.txt	a_study1_tdf.xlsx
source36	sample107	2			1462				a_study1_processed_data.txt	a_study1_tdf.xlsx
source36	sample108	3			1681				a_study1_processed_data.txt	a_study1_tdf.xlsx
source37	sample109	1			1237				a_study1_processed_data.txt	a_study1_tdf.xlsx
source37	sample110	2			1390				a_study1_processed_data.txt	a_study1_tdf.xlsx
source37	sample111	3			1563				a_study1_processed_data.txt	a_study1_tdf.xlsx
source38	sample112	1			1186				a_study1_processed_data.txt	a_study1_tdf.xlsx
source38	sample113	2			1334				a_study1_processed_data.txt	a_study1_tdf.xlsx
source38	sample114	3			1646				a_study1_processed_data.txt	a_study1_tdf.xlsx
source39	sample115	1			1189				a_study1_processed_data.txt	a_study1_tdf.xlsx
source39	sample116	2			1387				a_study1_processed_data.txt	a_study1_tdf.xlsx
source39	sample117	3			1523				a_study1_processed_data.txt	a_study1_tdf.xlsx
source40	sample118	1			1221				a_study1_processed_data.txt	a_study1_tdf.xlsx
source40	sample119	2			1383				a_study1_processed_data.txt	a_study1_tdf.xlsx
source40	sample120	3			1690				a_study1_processed_data.txt	a_study1_tdf.xlsx
source41	sample121	1			1235				a_study1_processed_data.txt	a_study1_tdf.xlsx
source41	sample122	2			1367				a_study1_processed_data.txt	a_study1_tdf.xlsx
source41	sample123	3			1636				a_study1_processed_data.txt	a_study1_tdf.xlsx
source42	sample124	1			1203				a_study1_processed_data.txt	a_study1_tdf.xlsx
source42	sample125	2			1461				a_study1_processed_data.txt	a_study1_tdf.xlsx
source42	sample126	3			1667				a_study1_processed_data.txt	a_study1_tdf.xlsx
source43	sample127	1			1191				a_study1_processed_data.txt	a_study1_tdf.xlsx
source43	sample128	2			1340				a_study1_processed_data.txt	a_study1_tdf.xlsx
source43	sample129	3			1684				a_study1_processed_data.txt	a_study1_tdf.xlsx
source44	sample130	1			1192				a_study1_processed_data.txt	a_study1_tdf.xlsx
source44	sample131	2			1347				a_study1_processed_data.txt	a_study1_tdf.xlsx
source44	sample132	3			1553				a_study1_processed_data.txt	a_study1_tdf.xlsx
source45	sample133	1			1204				a_study1_processed_data.txt	a_study1_tdf.xlsx
source45	sample134	2			1374				a_study1_processed_data.txt	a_study1_tdf.xlsx
source45	sample135	3			1685				a_study1_processed_data.txt	a_study1_tdf.xlsx
source46	sample136	1			1199				a_study1_processed_data.txt	a_study1_tdf.xlsx
source46	sample137	2			1360				a_study1_processed_data.txt	a_study1_tdf.xlsx
source46	sample138	3			1662				a_study1_processed_data.txt	a_study1_tdf.xlsx
source47	sample139	1			1222				a_study1_processed_data.txt	a_study1_tdf.xlsx
source47	sample140	2			1329				a_study1_processed_data.txt	a_study1_tdf.xlsx
source47	sample141	3			1559				a_study1_processed_data.txt	a_study1_tdf.xlsx
source48	sample142	1			1187				a_study1_processed_data.txt	a_study1_tdf.xlsx
source48	sample143	2			1346				a_study1_processed_data.txt	a_study1_tdf.xlsx
source48	sample144	3			1609				a_study1_processed_data.txt	a_study1_tdf.xlsx
source49	sample145	1			1217				a_study1_processed_data.txt	a_study1_tdf.xlsx
source49	sample146	2			1384				a_study1_processed_data.txt	a_study1_tdf.xlsx
source49	sample147	3			1663				a_study1_processed_data.txt	a_study1_tdf.xlsx
source50	sample148	1			1244				a_study1_processed_data.txt	a_study1_tdf.xlsx
source50	sample149	2			1336				a_study1_processed_data.txt	a_study1_tdf.xlsx
source50	sample150	3			1717				a_study1_processed_data.txt	a_study1_tdf.xlsx
source51	sample151	1			1242				a_study1_processed_data.txt	a_study1_tdf.xlsx
source51	sample152	2			1353				a_study1_processed_data.txt	a_study1_tdf.xlsx
source51	sample153	3			1701				a_study1_processed_data.txt	a_study1_tdf.xlsx
source52	sample154	1			1059				a_study1_processed_data.txt	a_study1_tdf.xlsx
source52	sample155	2			1369				a_study1_processed_data.txt	a_study1_tdf.xlsx
source52	sample156	3			1695				a_study1_processed_data.txt	a_study1_tdf.xlsx
source53	sample157	1			1212				a_study1_processed_data.txt	a_study1_tdf.xlsx
source53	sample158	2			1250				a_study1_processed_data.txt	a_study1_tdf.xlsx
source53	sample159	3			1612				a_study1_processed_data.txt	a_study1_tdf.xlsx
source54	sample160	1			1211				a_study1_processed_data.txt	a_study1_tdf.xlsx
source54	sample161	2			1520				a_study1_processed_data.txt	a_study1_tdf.xlsx
source54	sample162	3			1640				a_study1_processed_data.txt	a_study1_tdf.xlsx
source55	sample163	1			1075				a_study1_processed_data.txt	a_study1_tdf.xlsx
source55	sample164	2			1500				a_study1_processed_data.txt	a_study1_tdf.xlsx
source55	sample165	3			1555				a_study1_processed_data.txt	a_study1_tdf.xlsx
source56	sample166	1			1241				a_study1_processed_data.txt	a_study1_tdf.xlsx
source56	sample167	2			1274				a_study1_processed_data.txt	a_study1_tdf.xlsx
source56	sample168	3			1648				a_study1_processed_data.txt	a_study1_tdf.xlsx
source57	sample169	1			1077				a_study1_processed_data.txt	a_study1_tdf.xlsx
source57	sample170	2			1385				a_study1_processed_data.txt	a_study1_tdf.xlsx
source57	sample171	3			1561				a_study1_processed_data.txt	a_study1_tdf.xlsx
source58	sample172	1			1129				a_study1_processed_data.txt	a_study1_tdf.xlsx
source58	sample173	2			1378				a_study1_processed_data.txt	a_study1_tdf.xlsx
source58	sample174	3			1691				a_study1_processed_data.txt	a_study1_tdf.xlsx
source59	sample175	1			1034				a_study1_processed_data.txt	a_study1_tdf.xlsx
source59	sample176	2			1436				a_study1_processed_data.txt	a_study1_tdf.xlsx
source59	sample177	3			1765				a_study1_processed_data.txt	a_study1_tdf.xlsx
source60	sample178	1			1037				a_study1_processed_data.txt	a_study1_tdf.xlsx
source60	sample179	2			1415				a_study1_processed_data.txt	a_study1_tdf.xlsx
source60	sample180	3			1771				a_study1_processed_data.txt	a_study1_tdf.xlsx
source61	sample181	1			1093				a_study1_processed_data.txt	a_study1_tdf.xlsx
source61	sample182	2			1460				a_study1_processed_data.txt	a_study1_tdf.xlsx
source61	sample183	3			1618				a_study1_processed_data.txt	a_study1_tdf.xlsx
source62	sample184	1			1155				a_study1_processed_data.txt	a_study1_tdf.xlsx
source62	sample185	2			1294				a_study1_processed_data.txt	a_study1_tdf.xlsx
source62	sample186	3			1638				a_study1_processed_data.txt	a_study1_tdf.xlsx
source63	sample187	1			1086				a_study1_processed_data.txt	a_study1_tdf.xlsx
source63	sample188	2			1512				a_study1_processed_data.txt	a_study1_tdf.xlsx
source63	sample189	3			1556				a_study1_processed_data.txt	a_study1_tdf.xlsx
source64	sample190	1			998				a_study1_processed_data.txt	a_study1_tdf.xlsx
source64	sample191	2			1407				a_study1_processed_data.txt	a_study1_tdf.xlsx
source64	sample192	3			1754				a_study1_processed_data.txt	a_study1_tdf.xlsx
source65	sample193	1			1039				a_study1_processed_data.txt	a_study1_tdf.xlsx
source65	sample194	2			1451				a_study1_processed_data.txt	a_study1_tdf.xlsx
source65	sample195	3			1752				a_study1_processed_data.txt	a_study1_tdf.xlsx
source66	sample196	1			1072				a_study1_processed_data.txt	a_study1_tdf.xlsx
source66	sample197	2			1265				a_study1_processed_data.txt	a_study1_tdf.xlsx
source66	sample198	3			1674				a_study1_processed_data.txt	a_study1_tdf.xlsx
source67	sample199	1			1046				a_study1_processed_data.txt	a_study1_tdf.xlsx
source67	sample200	2			1424				a_study1_processed_data.txt	a_study1_tdf.xlsx
source67	sample201	3			1743				a_study1_processed_data.txt	a_study1_tdf.xlsx
source68	sample202	1			1148				a_study1_processed_data.txt	a_study1_tdf.xlsx
source68	sample203	2			1259				a_study1_processed_data.txt	a_study1_tdf.xlsx
source68	sample204	3			1617				a_study1_processed_data.txt	a_study1_tdf.xlsx
source69	sample205	1			1011				a_study1_processed_data.txt	a_study1_tdf.xlsx
source69	sample206	2			1516				a_study1_processed_data.txt	a_study1_tdf.xlsx
source69	sample207	3			1538				a_study1_processed_data.txt	a_study1_tdf.xlsx
source70	sample208	1			1114				a_study1_processed_data.txt	a_study1_tdf.xlsx
source70	sample209	2			1411				a_study1_processed_data.txt	a_study1_tdf.xlsx
source70	sample210	3			1726				a_study1_processed_data.txt	a_study1_tdf.xlsx
source71	sample211	1			1047				a_study1_processed_data.txt	a_study1_tdf.xlsx
source71	sample212	2			1484				a_study1_processed_data.txt	a_study1_tdf.xlsx
source71	sample213	3			1785				a_study1_processed_data.txt	a_study1_tdf.xlsx
source72	sample214	1			1038				a_study1_processed_data.txt	a_study1_tdf.xlsx
source72	sample215	2			1471				a_study1_processed_data.txt	a_study1_tdf.xlsx
source72	sample216	3			1670				a_study1_processed_data.txt	a_study1_tdf.xlsx
source73	sample217	1			1091				a_study1_processed_data.txt	a_study1_tdf.xlsx
source73	sample218	2			1282				a_study1_processed_data.txt	a_study1_tdf.xlsx
source73	sample219	3			1621				a_study1_processed_data.txt	a_study1_tdf.xlsx
source74	sample220	1			1071				a_study1_processed_data.txt	a_study1_tdf.xlsx
source74	sample221	2			1296				a_study1_processed_data.txt	a_study1_tdf.xlsx
source74	sample222	3			1639				a_study1_processed_data.txt	a_study1_tdf.xlsx
source75	sample223	1			1429				a_study1_processed_data.txt	a_study1_tdf.xlsx
source75	sample224	2			1488				a_study1_processed_data.txt	a_study1_tdf.xlsx
source75	sample225	3			1655				a_study1_processed_data.txt	a_study1_tdf.xlsx
source76	sample226	1			1105				a_study1_processed_data.txt	a_study1_tdf.xlsx
source76	sample227	2			1417				a_study1_processed_data.txt	a_study1_tdf.xlsx
source76	sample228	3			1768				a_study1_processed_data.txt	a_study1_tdf.xlsx
source77	sample229	1			1243				a_study1_processed_data.txt	a_study1_tdf.xlsx
source77	sample230	2			1472				a_study1_processed_data.txt	a_study1_tdf.xlsx
source77	sample231	3			1573				a_study1_processed_data.txt	a_study1_tdf.xlsx
source78	sample232	1			1070				a_study1_processed_data.txt	a_study1_tdf.xlsx
source78	sample233	2			1304				a_study1_processed_data.txt	a_study1_tdf.xlsx
source78	sample234	3			1676				a_study1_processed_data.txt	a_study1_tdf.xlsx
source79	sample235	1			1184				a_study1_processed_data.txt	a_study1_tdf.xlsx
source79	sample236	2			1318				a_study1_processed_data.txt	a_study1_tdf.xlsx
source79	sample237	3			1572				a_study1_processed_data.txt	a_study1_tdf.xlsx
source80	sample238	1			1054				a_study1_processed_data.txt	a_study1_tdf.xlsx
source80	sample239	2			1443				a_study1_processed_data.txt	a_study1_tdf.xlsx
source80	sample240	3			1594				a_study1_processed_data.txt	a_study1_tdf.xlsx
source81	sample241	1			1152				a_study1_processed_data.txt	a_study1_tdf.xlsx
source81	sample242	2			1278				a_study1_processed_data.txt	a_study1_tdf.xlsx
source81	sample243	3			1595				a_study1_processed_data.txt	a_study1_tdf.xlsx
source82	sample244	1			1066				a_study1_processed_data.txt	a_study1_tdf.xlsx
source82	sample245	2			1285				a_study1_processed_data.txt	a_study1_tdf.xlsx
source82	sample246	3			1626				a_study1_processed_data.txt	a_study1_tdf.xlsx
source83	sample247	1			1134				a_study1_processed_data.txt	a_study1_tdf.xlsx
source83	sample248	2			1372				a_study1_processed_data.txt	a_study1_tdf.xlsx
source83	sample249	3			1678				a_study1_processed_data.txt	a_study1_tdf.xlsx
source84	sample250	1			1085				a_study1_processed_data.txt	a_study1_tdf.xlsx
source84	sample251	2			1502				a_study1_processed_data.txt	a_study1_tdf.xlsx
source84	sample252	3			1705				a_study1_processed_data.txt	a_study1_tdf.xlsx
source85	sample253	1			1132				a_study1_processed_data.txt	a_study1_tdf.xlsx
source85	sample254	2			1321				a_study1_processed_data.txt	a_study1_tdf.xlsx
source85	sample255	3			1647				a_study1_processed_data.txt	a_study1_tdf.xlsx
source86	sample256	1			1057				a_study1_processed_data.txt	a_study1_tdf.xlsx
source86	sample257	2			1270				a_study1_processed_data.txt	a_study1_tdf.xlsx
source86	sample258	3			1608				a_study1_processed_data.txt	a_study1_tdf.xlsx
source87	sample259	1			1061				a_study1_processed_data.txt	a_study1_tdf.xlsx
source87	sample260	2			1291				a_study1_processed_data.txt	a_study1_tdf.xlsx
source87	sample261	3			1697				a_study1_processed_data.txt	a_study1_tdf.xlsx
source88	sample262	1			1042				a_study1_processed_data.txt	a_study1_tdf.xlsx
source88	sample263	2			1476				a_study1_processed_data.txt	a_study1_tdf.xlsx
source88	sample264	3			1773				a_study1_processed_data.txt	a_study1_tdf.xlsx
source89	sample265	1			1028				a_study1_processed_data.txt	a_study1_tdf.xlsx
source89	sample266	2			1466				a_study1_processed_data.txt	a_study1_tdf.xlsx
source89	sample267	3			1775				a_study1_processed_data.txt	a_study1_tdf.xlsx
source90	sample268	1			1022				a_study1_processed_data.txt	a_study1_tdf.xlsx
source90	sample269	2			1425				a_study1_processed_data.txt	a_study1_tdf.xlsx
source90	sample270	3			1747				a_study1_processed_data.txt	a_study1_tdf.xlsx
source91	sample271	1			988				a_study1_processed_data.txt	a_study1_tdf.xlsx
source91	sample272	2			1418				a_study1_processed_data.txt	a_study1_tdf.xlsx
source91	sample273	3			1769				a_study1_processed_data.txt	a_study1_tdf.xlsx
source92	sample274	1			997				a_study1_processed_data.txt	a_study1_tdf.xlsx
source92	sample275	2			1496				a_study1_processed_data.txt	a_study1_tdf.xlsx
source92	sample276	3			1787				a_study1_processed_data.txt	a_study1_tdf.xlsx
source93	sample277	1			1055				a_study1_processed_data.txt	a_study1_tdf.xlsx
source93	sample278	2			1302				a_study1_processed_data.txt	a_study1_tdf.xlsx
source93	sample279	3			1527				a_study1_processed_data.txt	a_study1_tdf.xlsx
source94	sample280	1			1175				a_study1_processed_data.txt	a_study1_tdf.xlsx
source94	sample281	2			1316				a_study1_processed_data.txt	a_study1_tdf.xlsx
source94	sample282	3			1706				a_study1_processed_data.txt	a_study1_tdf.xlsx
source95	sample283	1			1163				a_study1_processed_data.txt	a_study1_tdf.xlsx
source95	sample284	2			1381				a_study1_processed_data.txt	a_study1_tdf.xlsx
source95	sample285	3			1644				a_study1_processed_data.txt	a_study1_tdf.xlsx
source96	sample286	1			1165				a_study1_processed_data.txt	a_study1_tdf.xlsx
source96	sample287	2			1262				a_study1_processed_data.txt	a_study1_tdf.xlsx
source96	sample288	3			1596				a_study1_processed_data.txt	a_study1_tdf.xlsx
source97	sample289	1			1016				a_study1_processed_data.txt	a_study1_tdf.xlsx
source97	sample290	2			1402				a_study1_processed_data.txt	a_study1_tdf.xlsx
source97	sample291	3			1660				a_study1_processed_data.txt	a_study1_tdf.xlsx
source98	sample292	1			1023				a_study1_processed_data.txt	a_study1_tdf.xlsx
source98	sample293	2			1408				a_study1_processed_data.txt	a_study1_tdf.xlsx
source98	sample294	3			1742				a_study1_processed_data.txt	a_study1_tdf.xlsx
source99	sample295	1			999				a_study1_processed_data.txt	a_study1_tdf.xlsx
source99	sample296	2			1427				a_study1_processed_data.txt	a_study1_tdf.xlsx
source99	sample297	3			1757				a_study1_processed_data.txt	a_study1_tdf.xlsx
source100	sample298	1			1181				a_study1_processed_data.txt	a_study1_tdf.xlsx
source100	sample299	2			1281				a_study1_processed_data.txt	a_study1_tdf.xlsx
source100	sample300	3			1645				a_study1_processed_data.txt	a_study1_tdf.xlsx
source101	sample301	1			1106				a_study1_processed_data.txt	a_study1_tdf.xlsx
source101	sample302	2			1482				a_study1_processed_data.txt	a_study1_tdf.xlsx
source101	sample303	3			1730				a_study1_processed_data.txt	a_study1_tdf.xlsx
source102	sample304	1			1160				a_study1_processed_data.txt	a_study1_tdf.xlsx
source102	sample305	2			1312				a_study1_processed_data.txt	a_study1_tdf.xlsx
source102	sample306	3			1522				a_study1_processed_data.txt	a_study1_tdf.xlsx
source103	sample307	1			1115				a_study1_processed_data.txt	a_study1_tdf.xlsx
source103	sample308	2			1490				a_study1_processed_data.txt	a_study1_tdf.xlsx
source103	sample309	3			1682				a_study1_processed_data.txt	a_study1_tdf.xlsx
source104	sample310	1			1098				a_study1_processed_data.txt	a_study1_tdf.xlsx
source104	sample311	2			1448				a_study1_processed_data.txt	a_study1_tdf.xlsx
source104	sample312	3			1782				a_study1_processed_data.txt	a_study1_tdf.xlsx
source105	sample313	1			1025				a_study1_processed_data.txt	a_study1_tdf.xlsx
source105	sample314	2			1400				a_study1_processed_data.txt	a_study1_tdf.xlsx
source105	sample315	3			1658				a_study1_processed_data.txt	a_study1_tdf.xlsx
source106	sample316	1			1109				a_study1_processed_data.txt	a_study1_tdf.xlsx
source106	sample317	2			1468				a_study1_processed_data.txt	a_study1_tdf.xlsx
source106	sample318	3			1729				a_study1_processed_data.txt	a_study1_tdf.xlsx
source107	sample319	1			1238				a_study1_processed_data.txt	a_study1_tdf.xlsx
source107	sample320	2			1478				a_study1_processed_data.txt	a_study1_tdf.xlsx
source107	sample321	3			1649				a_study1_processed_data.txt	a_study1_tdf.xlsx
source108	sample322	1			1135				a_study1_processed_data.txt	a_study1_tdf.xlsx
source108	sample323	2			1323				a_study1_processed_data.txt	a_study1_tdf.xlsx
source108	sample324	3			1577				a_study1_processed_data.txt	a_study1_tdf.xlsx
source109	sample325	1			1096				a_study1_processed_data.txt	a_study1_tdf.xlsx
source109	sample326	2			1433				a_study1_processed_data.txt	a_study1_tdf.xlsx
source109	sample327	3			1789				a_study1_processed_data.txt	a_study1_tdf.xlsx
source110	sample328	1			1001				a_study1_processed_data.txt	a_study1_tdf.xlsx
source110	sample329	2			1503				a_study1_processed_data.txt	a_study1_tdf.xlsx
source110	sample330	3			1784				a_study1_processed_data.txt	a_study1_tdf.xlsx
source111	sample331	1			1209				a_study1_processed_data.txt	a_study1_tdf.xlsx
source111	sample332	2			1354				a_study1_processed_data.txt	a_study1_tdf.xlsx
source111	sample333	3			1602				a_study1_processed_data.txt	a_study1_tdf.xlsx
source112	sample334	1			1063				a_study1_processed_data.txt	a_study1_tdf.xlsx
source112	sample335	2			1506				a_study1_processed_data.txt	a_study1_tdf.xlsx
source112	sample336	3			1542				a_study1_processed_data.txt	a_study1_tdf.xlsx
source113	sample337	1			1142				a_study1_processed_data.txt	a_study1_tdf.xlsx
source113	sample338	2			1284				a_study1_processed_data.txt	a_study1_tdf.xlsx
source113	sample339	3			1587				a_study1_processed_data.txt	a_study1_tdf.xlsx
source114	sample340	1			1228				a_study1_processed_data.txt	a_study1_tdf.xlsx
source114	sample341	2			1499				a_study1_processed_data.txt	a_study1_tdf.xlsx
source114	sample342	3			1712				a_study1_processed_data.txt	a_study1_tdf.xlsx
source115	sample343	1			1029				a_study1_processed_data.txt	a_study1_tdf.xlsx
source115	sample344	2			1453				a_study1_processed_data.txt	a_study1_tdf.xlsx
source115	sample345	3			1728				a_study1_processed_data.txt	a_study1_tdf.xlsx
source116	sample346	1			1232				a_study1_processed_data.txt	a_study1_tdf.xlsx
source116	sample347	2			1263				a_study1_processed_data.txt	a_study1_tdf.xlsx
source116	sample348	3			1628				a_study1_processed_data.txt	a_study1_tdf.xlsx
source117	sample349	1			1220				a_study1_processed_data.txt	a_study1_tdf.xlsx
source117	sample350	2			1357				a_study1_processed_data.txt	a_study1_tdf.xlsx
source117	sample351	3			1591				a_study1_processed_data.txt	a_study1_tdf.xlsx
source118	sample352	1			1190				a_study1_processed_data.txt	a_study1_tdf.xlsx
source118	sample353	2			1337				a_study1_processed_data.txt	a_study1_tdf.xlsx
source118	sample354	3			1677				a_study1_processed_data.txt	a_study1_tdf.xlsx
